id,en,fr,ja,de,desc
PRIVACY_INTRO,"This Privacy Policy explains how Guess Tunes handles the account, profile, and gameplay data needed to run the service.","Cette politique de confidentialité explique comment Guess Tunes traite les données de compte, de profil et de jeu nécessaires au fonctionnement du service.",このプライバシーポリシーでは、Guess Tunes がサービス運営に必要なアカウント情報、プロフィール情報、ゲーム情報をどのように扱うかを説明します。,"Diese Datenschutzerklärung erklärt, wie Guess Tunes die Konto-, Profil- und Spieldaten verarbeitet, die zum Betrieb des Dienstes benötigt werden.",Intro text shown on privacy policy page
PRIVACY_DATA_TITLE,What We Collect,Ce que nous collectons,収集する情報,Was wir erfassen,Privacy policy section title
PRIVACY_DATA_BODY_1,"We store the information needed to create and secure your account, such as your username, email address, and authentication data.","Nous stockons les informations nécessaires pour créer et sécuriser votre compte, comme votre nom d'utilisateur, votre adresse e mail et vos données d'authentification.",アカウント作成と保護に必要なユーザー名、メールアドレス、認証情報などを保存します。,"Wir speichern die Informationen, die zum Erstellen und Sichern deines Kontos benötigt werden, zum Beispiel deinen Benutzernamen, deine E-Mail-Adresse und Authentifizierungsdaten.",Privacy policy section content
PRIVACY_DATA_BODY_2,"We also store profile details, such as your avatar, as well as gameplay information, such as statistics, match history, and leaderboard related data.","Nous stockons aussi des éléments de profil, comme votre avatar, ainsi que des informations de jeu, comme les statistiques, l'historique des matchs et les données liées au classement.",アバターなどのプロフィール情報に加えて、統計、対戦履歴、ランキング関連データなどのゲーム情報も保存します。,"Wir speichern außerdem Profildetails wie deinen Avatar sowie Spieldaten wie Statistiken, Spielverlauf und ranglistenbezogene Daten.",Privacy policy section content
PRIVACY_USAGE_TITLE,How We Use It,Comment nous les utilisons,利用目的,Wie wir sie verwenden,Privacy policy section title
PRIVACY_USAGE_BODY_1,"We use this data to authenticate users, run matches, display profiles and leaderboards, and provide the core features of Guess Tunes.","Nous utilisons ces données pour authentifier les utilisateurs, lancer les matchs, afficher les profils et les classements, et fournir les fonctionnalités principales de Guess Tunes.",これらのデータは、ユーザー認証、対戦の実行、プロフィール表示、ランキング表示、そして Guess Tunes の基本機能の提供に使用されます。,"Wir verwenden diese Daten, um Benutzer zu authentifizieren, Spiele auszuführen, Profile und Ranglisten anzuzeigen und die Kernfunktionen von Guess Tunes bereitzustellen.",Privacy policy section content
PRIVACY_USAGE_BODY_2,"We may also use technical logs to detect abuse, fix bugs, and keep the service stable during gameplay and account activity.","Nous pouvons aussi utiliser des journaux techniques pour détecter les abus, corriger les bugs et garder le service stable pendant le jeu et l'activité du compte.",技術ログは、不正利用の検出、バグ修正、アカウント利用時やゲームプレイ時の安定性維持にも使用されることがあります。,"Wir können außerdem technische Protokolle verwenden, um Missbrauch zu erkennen, Fehler zu beheben und den Dienst während des Spielens und der Kontoaktivität stabil zu halten.",Privacy policy section content
PRIVACY_SHARING_TITLE,Who Can Access It,Qui peut y accéder,アクセスできる人,Wer darauf zugreifen kann,Privacy policy section title
PRIVACY_SHARING_BODY_1,"We do not sell your personal data, and we only share it when this is necessary to operate the project infrastructure.","Nous ne vendons pas vos données personnelles, et nous ne les partageons que lorsque cela est nécessaire au fonctionnement de l'infrastructure du projet.",個人データを販売することはなく、プロジェクト基盤の運用に必要な場合にのみ共有されます。,"Wir verkaufen deine personenbezogenen Daten nicht und teilen sie nur, wenn dies für den Betrieb der Projektinfrastruktur notwendig ist.",Privacy policy section content
PRIVACY_SHARING_BODY_2,"Profile information that you choose to make public, such as usernames, avatars, and match results, may be visible to other players inside the application.","Les informations de profil que vous choisissez de rendre publiques, comme les noms d'utilisateur, les avatars et les résultats de match, peuvent être visibles par les autres joueurs dans l'application.",公開されるユーザー名、アバター、対戦結果などのプロフィール情報は、アプリ内で他のプレイヤーに表示される場合があります。,"Profilinformationen, die du öffentlich machst, wie Benutzernamen, Avatare und Spielergebnisse, können für andere Spieler innerhalb der Anwendung sichtbar sein.",Privacy policy section content
PRIVACY_RETENTION_TITLE,Retention and Deletion,Conservation et suppression,保存期間と削除,Aufbewahrung und Löschung,Privacy policy section title
PRIVACY_RETENTION_BODY_1,"Account and gameplay data are kept while your account remains active, so the service can preserve your profile and progression.","Les données du compte et du jeu sont conservées tant que votre compte reste actif, afin que le service puisse préserver votre profil et votre progression.",アカウントとゲームのデータは、アカウントが有効である間、プロフィールや進行状況を維持するために保存されます。,"Konto- und Spieldaten werden aufbewahrt, solange dein Konto aktiv bleibt, damit der Dienst dein Profil und deinen Fortschritt erhalten kann.",Privacy policy section content
PRIVACY_RETENTION_BODY_2,"If you delete your profile, we remove the related account data from the application, except for limited technical records that may remain for security or debugging.","Si vous supprimez votre profil, nous retirons les données du compte concerné de l'application, sauf pour des traces techniques limitées qui peuvent rester pour la sécurité ou le débogage.",プロフィールを削除した場合、関連するアカウントデータはアプリケーションから削除されますが、セキュリティやデバッグのための限定的な技術記録は残る場合があります。,"Wenn du dein Profil löschst, entfernen wir die zugehörigen Kontodaten aus der Anwendung, mit Ausnahme begrenzter technischer Aufzeichnungen, die aus Sicherheits- oder Debugging-Gründen verbleiben können.",Privacy policy section content
PRIVACY_RIGHTS_TITLE,Your Controls,Vos contrôles,利用者ができること,Deine Kontrollmöglichkeiten,Privacy policy section title
PRIVACY_RIGHTS_BODY_1,"You can update your username, email address, password, and profile image from the profile settings page.","Vous pouvez mettre à jour votre nom d'utilisateur, votre adresse e mail, votre mot de passe et votre image de profil depuis la page des paramètres du profil.",プロフィール設定ページから、ユーザー名、メールアドレス、パスワード、プロフィール画像を更新できます。,"Du kannst deinen Benutzernamen, deine E-Mail-Adresse, dein Passwort und dein Profilbild auf der Profileinstellungsseite aktualisieren.",Privacy policy section content
PRIVACY_RIGHTS_BODY_2,"If you no longer want to use the service, you can delete your account and contact the project team for privacy related questions.","Si vous ne souhaitez plus utiliser le service, vous pouvez supprimer votre compte et contacter l'équipe du projet pour toute question relative à la vie privée.",サービスを利用しなくなった場合は、アカウントを削除でき、プライバシーに関する質問はプロジェクトチームへ連絡できます。,"Wenn du den Dienst nicht mehr nutzen möchtest, kannst du dein Konto löschen und das Projektteam bei datenschutzbezogenen Fragen kontaktieren.",Privacy policy section content
TERMS_INTRO,"These Terms of Service govern the use of Guess Tunes and its account, gameplay, profile, and ranking features.","Ces conditions d'utilisation encadrent l'usage de Guess Tunes et de ses fonctionnalités de compte, de jeu, de profil et de classement.",これらの利用規約は、Guess Tunes とそのアカウント、ゲーム、プロフィール、ランキング機能の利用に適用されます。,"Diese Nutzungsbedingungen regeln die Nutzung von Guess Tunes und seiner Konto-, Spiel-, Profil- und Ranglistenfunktionen.",Intro text shown on terms of service page
TERMS_ACCOUNTS_TITLE,Accounts and Security,Comptes et sécurité,アカウントとセキュリティ,Konten und Sicherheit,Terms of service section title
TERMS_ACCOUNTS_BODY_1,"You are responsible for the accuracy of the information used to create your account, and for keeping your credentials confidential.","Vous êtes responsable de l'exactitude des informations utilisées pour créer votre compte, et de la confidentialité de vos identifiants.",アカウント作成時に登録する情報の正確性と、認証情報の機密保持は利用者の責任です。,"Du bist für die Richtigkeit der Informationen verantwortlich, die zur Erstellung deines Kontos verwendet werden, sowie dafür, deine Zugangsdaten vertraulich zu behandeln.",Terms of service section content
TERMS_ACCOUNTS_BODY_2,"You are also responsible for activity performed through your account, unless you promptly report unauthorized access.","Vous êtes aussi responsable des activités réalisées via votre compte, sauf si vous signalez rapidement un accès non autorisé.",不正アクセスを速やかに報告した場合を除き、アカウントを通じて行われた行為についても責任を負います。,"Du bist auch für Aktivitäten verantwortlich, die über dein Konto ausgeführt werden, außer du meldest unbefugten Zugriff unverzüglich.",Terms of service section content
TERMS_CONDUCT_TITLE,Acceptable Use,Utilisation autorisée,適切な利用,Zulässige Nutzung,Terms of service section title
TERMS_CONDUCT_BODY_1,"You must not use Guess Tunes to harass other users, cheat, abuse the ranking system, or interfere with the normal operation of matches.","Vous ne devez pas utiliser Guess Tunes pour harceler d'autres utilisateurs, tricher, détourner le système de classement ou perturber le fonctionnement normal des matchs.",Guess Tunes を他の利用者への嫌がらせ、不正行為、ランキング操作、対戦の正常な運営妨害に使ってはいけません。,"Du darfst Guess Tunes nicht verwenden, um andere Benutzer zu belästigen, zu betrügen, das Ranglistensystem zu missbrauchen oder den normalen Ablauf von Spielen zu stören.",Terms of service section content
TERMS_CONDUCT_BODY_2,"You must not attempt to access data or features without authorization, or use the service for unlawful purposes.","Vous ne devez pas tenter d'accéder sans autorisation à des données ou à des fonctionnalités, ni utiliser le service à des fins illégales.",権限なくデータや機能へアクセスしようとしたり、違法な目的でサービスを利用したりしてはいけません。,"Du darfst nicht versuchen, ohne Autorisierung auf Daten oder Funktionen zuzugreifen oder den Dienst für rechtswidrige Zwecke zu nutzen.",Terms of service section content
TERMS_SERVICE_TITLE,Service Availability,Disponibilité du service,サービスの提供,Verfügbarkeit des Dienstes,Terms of service section title
TERMS_SERVICE_BODY_1,"Guess Tunes is a school project service, and features may change, be interrupted, or be removed without prior notice.","Guess Tunes est un service de projet scolaire, et ses fonctionnalités peuvent changer, être interrompues ou être retirées sans préavis.",Guess Tunes は学校プロジェクトのサービスであり、機能は予告なく変更、中断、削除される場合があります。,"Guess Tunes ist ein Schulprojekt-Dienst, und Funktionen können ohne vorherige Ankündigung geändert, unterbrochen oder entfernt werden.",Terms of service section content
TERMS_SERVICE_BODY_2,"We do not guarantee uninterrupted availability of matches, leaderboards, chat, or profile features at all times.","Nous ne garantissons pas une disponibilité continue des matchs, des classements, du chat ou des fonctionnalités de profil à tout moment.",対戦、ランキング、チャット、プロフィール機能が常に中断なく利用できることは保証しません。,"Wir garantieren keine jederzeit unterbrechungsfreie Verfügbarkeit von Spielen, Ranglisten, Chat oder Profilfunktionen.",Terms of service section content
TERMS_CONTENT_TITLE,Profiles and Uploaded Content,Profils et contenus envoyés,プロフィールとアップロードされた内容,Profile und hochgeladene Inhalte,Terms of service section title
TERMS_CONTENT_BODY_1,"You remain responsible for the usernames, images, and other content you submit through your account.","Vous restez responsable des noms d'utilisateur, des images et des autres contenus que vous soumettez via votre compte.",アカウントを通じて送信したユーザー名、画像、その他の内容については利用者が責任を負います。,"Du bleibst verantwortlich für Benutzernamen, Bilder und andere Inhalte, die du über dein Konto einreichst.",Terms of service section content
TERMS_CONTENT_BODY_2,"You must not upload unlawful, deceptive, or offensive content, and you allow the project to display your submitted content inside the application.","Vous ne devez pas téléverser de contenu illégal, trompeur ou offensant, et vous autorisez le projet à afficher ce contenu dans l'application.",違法、誤解を招く、侮辱的な内容をアップロードしてはいけません。また、提出した内容がアプリ内で表示されることに同意するものとします。,"Du darfst keine rechtswidrigen, irreführenden oder beleidigenden Inhalte hochladen und erlaubst dem Projekt, deine eingereichten Inhalte innerhalb der Anwendung anzuzeigen.",Terms of service section content
TERMS_ENFORCEMENT_TITLE,Suspension and Deletion,Suspension et suppression,停止と削除,Sperrung und Löschung,Terms of service section title
TERMS_ENFORCEMENT_BODY_1,"We may suspend, restrict, or delete accounts that violate these rules or threaten the safety, stability, or fairness of the service.","Nous pouvons suspendre, restreindre ou supprimer les comptes qui enfreignent ces règles ou menacent la sécurité, la stabilité ou l'équité du service.",これらの規則に違反したり、サービスの安全性、安定性、公平性を脅かしたりするアカウントは停止、制限、削除される場合があります。,"Wir können Konten sperren, einschränken oder löschen, die diese Regeln verletzen oder die Sicherheit, Stabilität oder Fairness des Dienstes gefährden.",Terms of service section content
TERMS_ENFORCEMENT_BODY_2,"We may also remove content or features when needed to investigate abuse, security issues, or technical problems.","Nous pouvons aussi retirer des contenus ou des fonctionnalités lorsque cela est nécessaire pour enquêter sur un abus, sur des problèmes de sécurité ou sur des problèmes techniques.",不正行為、セキュリティ問題、技術的問題の調査のために、内容や機能を削除する場合もあります。,"Wir können außerdem Inhalte oder Funktionen entfernen, wenn dies zur Untersuchung von Missbrauch, Sicherheitsproblemen oder technischen Problemen notwendig ist.",Terms of service section content
TERMS_CHANGES_TITLE,Changes to the Terms,Modifications des conditions,規約の変更,Änderungen der Bedingungen,Terms of service section title
TERMS_CHANGES_BODY_1,"These terms may be updated as the project evolves, and the latest version made available in the application applies to future use of the service.","Ces conditions peuvent être mises à jour à mesure que le projet évolue, et la dernière version disponible dans l'application s'applique à l'usage futur du service.",これらの規約はプロジェクトの進行にあわせて更新される場合があり、アプリ内で公開された最新版が今後の利用に適用されます。,"Diese Bedingungen können aktualisiert werden, während sich das Projekt weiterentwickelt, und die neueste in der Anwendung verfügbare Version gilt für die zukünftige Nutzung des Dienstes.",Terms of service section content
TERMS_CHANGES_BODY_2,"By continuing to use Guess Tunes after an update, you accept the revised terms.","En continuant à utiliser Guess Tunes après une mise à jour, vous acceptez les conditions révisées.",更新後も Guess Tunes を利用し続けることで、改訂後の規約に同意したものとみなされます。,"Wenn du Guess Tunes nach einer Aktualisierung weiter nutzt, akzeptierst du die überarbeiteten Bedingungen.",Terms of service section content
PROJECT_MANAGER,Project Manager,Chef de projet,プロジェクトマネージャー,Projektmanager,Role label shown on the contact page
PRODUCT_OWNER,Product Owner,Product Owner,プロダクトオーナー,Product Owner,Role label shown on the contact page
TECH_LEAD,Tech Lead,Responsable technique,テックリード,Tech Lead,Role label shown on the contact page
DEVELOPER,Developer,Développeur,開発者,Entwickler,Role label shown on the contact page
PAGE_NOT_FOUND,Looks like this page does not exist,On dirait bien que cette page n'existe pas,このページは存在しないようです,Diese Seite scheint nicht zu existieren,Shows on a wrong URL
USER_NOT_FOUND,Looks like this user does not exist,On dirait bien que cet utilisateur n'existe pas,このユーザーは存在しないようです,Dieser Benutzer scheint nicht zu existieren,Shows on a missing user profile
LEADERBOARD_LOADING,Leaderboard loading...,Chargement du classement...,ランキングを読み込み中...,Rangliste wird geladen...,Shown while the leaderboard request is loading
LEADERBOARD_LOADING_FAILED,Leaderboard loading failed,Le chargement du classement a échoué,ランキングの読み込みに失敗しました,Rangliste konnte nicht geladen werden,Shown when the leaderboard request fails
LEADERBOARD_POINTS,Points,Points,ポイント,Punkte,Leaderboard value label shown next to a player's score
LEADERBOARD_TOTAL_PLAYERS,Total players: {number},Nombre total de joueurs : {number},プレイヤー総数: {number},Spieler insgesamt: {number},Leaderboard footer showing the total number of ranked players
LEADERBOARD_MESSAGE,Compete with others to climb the ladder!,Affrontez les autres pour grimper dans le classement !,他のプレイヤーと競い合ってランキングを駆け上がろう！,"Miss dich mit anderen, um in der Rangliste aufzusteigen!",Short leaderboard intro message encouraging ranked competition
PROFILE_STATS_LOADING,Loading statistics...,Chargement des statistiques...,統計を読み込み中...,Statistiken werden geladen...,Shown while the profile statistics request is loading
PROFILE_STATS_LOAD_FAILED,Statistics loading failed,Le chargement des statistiques a échoué,統計の読み込みに失敗しました,Statistiken konnten nicht geladen werden,Shown when the profile statistics request fails
TAG_POP,Pop,Pop,ポップ,Pop,Music tag associated to songs
TAG_RAP,Rap,Rap,ラップ,Rap,Music tag associated to songs
TAG_ROCK,Rock,Rock,ロック,Rock,Music tag associated to songs
TAG_ELECTRO,Electro,Electro,エレクトロ,Electro,Music tag associated to songs
TAG_FRENCH_VARIETY,French,Variété,フレンチ,Französisch,Music tag associated to songs
TAG_RNB,RNB,RNB,R&B,R&B,Music tag associated to songs
STATS_GAMES_PLAYED,Games played,Parties jouées,プレイしたゲーム,Gespielte Spiele,Shown in the stats panel
STATS_SONGS_PLAYED,Tracks played,Musiques jouées,再生した曲,Gespielte Titel,Shown in the stats panel
STATS_GAMES_WON,Games won,Parties gagnées,勝利したゲーム,Gewonnene Spiele,Shown in the stats panel
STATS_AVERAGE_SCORE,Average score,Score moyen,平均スコア,Durchschnittspunktzahl,Shown in the stats panel
STATS_AVERAGE_TIME,Average time,Temps moyen,平均時間,Durchschnittszeit,Shown in the stats panel
STATS_RANKING,Rank,Classement,順位,Rang,Shown in the stats panel
STATS_ARTIST_RATE,Artists found,Artistes trouvés,アーティスト正答率,Gefundene Künstler,Shown in the stats panel
STATS_SONG_RATE,Songs found,Titres trouvés,曲名正答率,Gefundene Songs,Shown in the stats panel
STATS_COMPLETE_RATE,Perfect answers,Réponses complètes,完全正答率,Perfekte Antworten,Shown in the stats panel
STATS_COMPLETE_RATES_BY_TAG,Perfect answers by tag,Réponses complètes par style,タグごとの完全正答率,Perfekte Antworten nach Tag,Shown in the stats panel
HISTORY_LOADING,Loading match history...,Chargement de l'historique des matchs...,履歴を読み込み中...,Spielverlauf wird geladen...,Shown while the match history request is loading
HISTORY_LOADING_FAILED,Match history loading failed,Le chargement de l'historique des matchs a échoué,履歴の読み込みに失敗しました,Spielverlauf konnte nicht geladen werden,Shown when the match history request fails
HISTORY_EMPTY,No matches to show yet.,Aucun match à afficher pour le moment.,まだ表示する対戦がありません。,Noch keine Spiele zum Anzeigen.,Shown when the user has no match history yet
HISTORY_SCORE,Score: {score},Score : {score},スコア: {score},Punktzahl: {score},Shown in the match history panel
HISTORY_RANKING,Rank: {rank} / {players},Classement : {rank} / {players},順位: {rank} / {players},Rang: {rank} / {players},Shown in the match history panel
HISTORY_PLAYER_RANKING,Rank: {rank},Classement : {rank},順位: {rank},Rang: {rank},Shown in the match history players tab
HISTORY_OPEN_PROFILE,Open profile {username},Ouvrir le profil de {username},{username} のプロフィールを開く,Profil von {username} öffnen,Accessible label for clicking a player avatar in match history
HISTORY_ROUNDS,Rounds,Manches,ラウンド,Runden,Shown in the match history panel
HISTORY_PLAYERS,Players,Joueurs,プレイヤー,Spieler,Shown in the match history panel
BADGE_DEAF_OCTOPUS,Deaf Octopus,Poulpe sourd,耳の遠いタコ,Tauber Oktopus,Badge for users with XP below 100
BADGE_DAZED_JELLYFISH,Dazed Jellyfish,Méduse étourdie,ぼんやりクラゲ,Benommene Qualle,Badge for users with XP from 100 to 199
BADGE_DISTRACTED_PIGEON,Distracted Pigeon,Pigeon distrait,気まぐれなハト,Abgelenkte Taube,Badge for users with XP from 200 to 499
BADGE_CURIOUS_CAT,Curious Cat,Chat curieux,好奇心旺盛なネコ,Neugierige Katze,Badge for users with XP from 500 to 999
BADGE_ATTENTIVE_OWL,Attentive Owl,Chouette attentive,注意深いフクロウ,Aufmerksame Eule,Badge for users with XP from 1000 to 1999
BADGE_RHYTHMIC_RAPTOR,Rhythmic Raptor,Raptor rythmé,リズミカルなラプトル,Rhythmischer Raptor,Badge for users with XP from 2000 to 4999
BADGE_SONIC_SHARK,Sonic Shark,Requin sonique,ソニックシャーク,Sonischer Hai,Badge for users with XP from 5000 to 9999
BADGE_ECHOLOCATING_BAT,Echolocating Bat,Chauve-souris écholocatrice,反響定位するコウモリ,Echoortende Fledermaus,Badge for users with XP of 10000 or more
NOT_FOUND,Looks like this page does not exist,On dirait bien que cette page n'existe pas,このページは存在しないようです,Diese Seite scheint nicht zu existieren,Shows on a wrong URL
NOTIF_TITLE,Notifications,Notifications,通知,Benachrichtigungen,Notifications drawer title
NOTIF_EMPTY,You do not have any notifications.,Vous n'avez aucune notification.,通知はありません。,Du hast keine Benachrichtigungen.,Displayed when no notifications are found
NOTIF_FRIEND_REQ,{USERNAME} sent you a friend request,{USERNAME} vous a envoyé une demande d'ami,{USERNAME} さんがフレンド申請を送信しました,{USERNAME} hat dir eine Freundschaftsanfrage gesendet,Displayed  username when a user receives a new friend request notification
NOTIF_AGO_DAYS,{COUNT} day(s) ago,Il y a {COUNT} jour(s),{COUNT}日前,Vor {COUNT} Tag(en),Displays how many days ago a notification was triggered
NOTIF_AGO_HOURS,{COUNT} hour(s) ago,Il y a {COUNT} heure(s),{COUNT}時間前,Vor {COUNT} Stunde(n),Displays how many hours ago a notification was triggered
NOTIF_AGO_MINUTES,{COUNT} minute(s) ago,Il y a {COUNT} minute(s),{COUNT}分前,Vor {COUNT} Minute(n),Displays how many minutes ago a notification was triggered
NOTIF_AGO_LESS,Less than a minute ago,Il y a moins d'une minute,1分未満前,Vor weniger als einer Minute,Displayed when the notification is less than a minute old
NOTIF_FAILED,Couldn't load notifications.,Impossible de charger les notifications.,通知を読み込めませんでした。,Benachrichtigungen konnten nicht geladen werden.,Displayed when loading notifications fails
NOTIF_FRIEND_ACCEPTED,{USERNAME} has accepted your friend request,{USERNAME} a accepté votre demande d'ami,{USERNAME} さんがフレンド申請を承認しました,{USERNAME} hat deine Freundschaftsanfrage angenommen,Displayed after the highlighted username when someone accepts your friend request
NOTIF_UNKNOWN,Unknown notification,Notification inconnue,不明な通知,Unbekannte Benachrichtigung,Fallback notification message
GAME_LEADER_BOARD,Leaderboard,Classement,リーダーボード,Rangliste,In game leaderboard title
GAME_LOBBY_TITLE,Lobby,Salon,ロビー,Lobby,Lobby category in the game infrastructure
GAME_SETTINGS_TITLE,Game settings,Paramètres de la partie,ゲーム設定,Spieleinstellungen,Settings view title
GAME_CHAT_TITLE,Chat,Discussion,チャット,Chat,Chat title in the game infrastructure
GAME_ERROR_GLOBAL,Failed to fetch game data,Impossible de récupérer les données du jeu,ゲームデータの取得に失敗しました,Spieldaten konnten nicht geladen werden,Error message whenever game couldn't be loaded.
GAME_ERROR_TITLE,Error,Erreur,エラー,Fehler,Title for error in game
GAME_ERROR_INVALID_ROOM,Room is not valid,La salle n’est pas valide,ルームが無効です,Raum ist ungültig,Error when room number is not valid
GAME_LOADING_TITLE,Loading,Chargement,読み込み中,Wird geladen,Title of the loading message paper
GAME_LOADING,Game is loading...,Chargement du jeu...,ゲームを読み込んでいます...,Spiel wird geladen...,Content of the loading message paper
GAME_JOINED_MESSAGE,{PLAYER} has joined the game.,{PLAYER} a rejoint la partie.,{PLAYER} がゲームに参加しました。,{PLAYER} ist dem Spiel beigetreten.,Chat message when a player joined
GAME_LEAVED_MESSAGE,{PLAYER} has left the game.,{PLAYER} a quitté la partie.,{PLAYER} がゲームから退出しました。,{PLAYER} hat das Spiel verlassen.,Chat message when a player left
GAME_LEAVE_CONFIRM_TITLE,Leave game?,Quitter la partie ?,ゲームを退出しますか？,Spiel verlassen?,Title for confirmation dialog shown before leaving a joined game
GAME_LEAVE_CONFIRM_MESSAGE,You are currently in a game. Are you sure you want to leave?,Vous êtes actuellement dans une partie. Voulez-vous vraiment quitter ?,現在ゲームに参加しています。本当に退出しますか？,Du bist gerade in einem Spiel. Möchtest du es wirklich verlassen?,Confirmation message shown before leaving a joined game
GAME_LEAVE_STAY,Stay,Rester,残る,Bleiben,Button to stay in the current game
GAME_LEAVE_CONFIRM,Leave,Quitter,退出する,Verlassen,Button to confirm leaving the current game
GAME_ALREADY_IN_GAME_TITLE,Already in a game,Déjà dans une partie,すでにゲームに参加しています,Bereits in einem Spiel,Title for dialog shown when joining a second game
GAME_ALREADY_IN_GAME_MESSAGE,You are already in a game. Leave it to join this one?,Vous êtes déjà dans une partie. Voulez-vous la quitter pour rejoindre celle-ci ?,すでにゲームに参加しています。このゲームに参加するために退出しますか？,"Du bist bereits in einem Spiel. Möchtest du es verlassen, um diesem beizutreten?",Message for dialog shown when joining a second game
GAME_ALREADY_IN_GAME_RETURN,Return to current game,Retourner à la partie en cours,現在のゲームに戻る,Zum aktuellen Spiel zurückkehren,Button to go back to the current game
GAME_ALREADY_IN_GAME_JOIN,Leave and join,Quitter et rejoindre,退出して参加する,Verlassen und beitreten,Button to leave the current game and join a new one
GAME_GUESSED_MESSAGE,{PLAYER} tried: {GUESS},{PLAYER} a essayé : {GUESS},{PLAYER} が「{GUESS}」と答えました。,{PLAYER} hat versucht: {GUESS},Chat message when a player made a guess
GAME_GUESSED_MESSAGE_EMPTY,{PLAYER} had an incorrect guess,{PLAYER} a donné une mauvaise réponse,{PLAYER} が不正解でした,{PLAYER} hat falsch geraten,Chat message when a player made a guess (but no guess body given)
GAME_FOUND_MESSAGE,{PLAYER} made a correct guess,{PLAYER} a trouvé la bonne réponse,{PLAYER} が正解しました,{PLAYER} hat richtig geraten,Chat message when a player made a correct guess
GAME_WAITING_START,Waiting for {USER} to start the game,En attente que {USER} lance la partie,{USER} がゲームを開始するのを待っています,"Warte auf {USER}, um das Spiel zu starten",Displayed message in the game lobby
GAME_WAITING_START_NO_HOST,Waiting to start the game,En attente du lancement de la partie,ゲーム開始を待っています,Warten auf Spielstart,Displayed message in the game lobby (With no host rooms)
GAME_PLAYER_COUNT,Players: {COUNT} / {MAX},Joueurs : {COUNT} / {MAX},プレイヤー: {COUNT} / {MAX},Spieler: {COUNT} / {MAX},Display the current connected with its maximum
GAME_START,Start game,Lancer la partie,ゲームを開始,Spiel starten,Button to start the current game
GAME_EDIT,Edit game,Modifier la partie,ゲームを編集,Spiel bearbeiten,Button to edit the current game settings
GAME_SETTINGS_PLAYLIST,Playlists,Playlists,プレイリスト,Wiedergabelisten,Information text about the fact bellow there is the sleection of plalist
GAME_SETTINGS_NB_MUSIC,Number of tracks: {COUNT},Nombre de titres : {COUNT},曲数: {COUNT},Anzahl der Titel: {COUNT},INformations about the number of musics
GAME_SETTINGS_MUSIC_TIMER,Music timer: {COUNT}s,Temps par musique : {COUNT}s,再生時間: {COUNT}秒,Musik-Timer: {COUNT}s,INformations about the time allowed for the music (in seconds)
GAME_SETTINGS_BREAK_TIMER,Break timer: {COUNT}s,Temps de pause : {COUNT}s,休憩時間: {COUNT}秒,Pausen-Timer: {COUNT}s,INformations about the time btw Rounds (in seconds)
GAME_SETTINGS_SEE_OTHERS,See others' answers: ,Voir les réponses des autres : ,他のプレイヤーの回答を見る: ,Antworten anderer sehen: ,Setting to display other people answers in the chat
GAME_SETTINGS_FUZZY,Fuzzy match: ,Correspondance approximative : ,あいまい一致: ,Fuzzy-Übereinstimmung: ,Allow fuzzy match for answer
GAME_SETTINGS_NOTAG,No tag,Aucun tag,タグなし,Kein Tag,Used when no tag has been set
GAME_SETTINGS_SCORE_OPTION,Score options: ,Options de score : ,スコア設定: ,Punkteoptionen: ,Scoring system option title
GAME_SETTINGS_SCORE_OPTION_SPEED,Speed,Vitesse,速度,Geschwindigkeit,Scoring system option (Speed: option)
GAME_SETTINGS_SCORE_OPTION_NORMAL,Normal,Normal,ノーマル,Normal,Scoring system option (Speed: Normal)
GAME_SETTINGS_SCORE_OPTION_ARMAGEDDON,Armageddon,Armageddon,アルマゲドン,Armageddon,Scoring system option (Speed: Armagedon)
GAME_SETTINGS_CODE,Room: ,Salle : ,ルーム: ,Raum: ,Title placed before the code
GAME_SETTINGS_CB,Copy to clipboard,Copier dans le presse-papiers,クリップボードにコピー,In die Zwischenablage kopieren,Button to copy to the clipboard
GAME_SETTINGS_CB_COPIED,Copied...,Copié...,コピーしました...,Kopiert...,Button to copy to the clipboard (when pressed)
GAME_SETTINGS_GAME,Game settings,Paramètres de la partie,ゲーム設定,Spieleinstellungen,Title for game settings
GAME_SETTINGS_VISIBILITY,Game visibility,Visibilité de la partie,ゲームの公開範囲,Sichtbarkeit des Spiels,Title for game visibility
GAME_SETTINGS_BACK,Return to lobby,Retour au salon,ロビーに戻る,Zurück zur Lobby,Button to return into the lobby
GAME_NO_GENRE,No genre selected,Aucun genre sélectionné,ジャンルが選択されていません,Kein Genre ausgewählt,Shown when no genre has been selected
GAME_PLAYING_TITLE,Playing,En cours,再生中,Wiedergabe,Title of the view when the music is playing
GAME_PLAYING_ENDED,Game ended,Partie terminée,ゲーム終了,Spiel beendet,Title of the view when the game has ended
GAME_ROUND_INDICATOR,Round: {CURRENT}/{MAX},Manche : {CURRENT}/{MAX},ラウンド: {CURRENT}/{MAX},Runde: {CURRENT}/{MAX},Indicate the current round
GAME_ROUND_ARTIST,Artist:,Artiste :,アーティスト:,Künstler:,Label for the number of point for finding the artist
GAME_ROUND_TITLE,Title:,Titre :,曲名:,Titel:,Label for the number of point for finding the title
GAME_ROUND_RANKING,Ranking:,Classement :,順位:,Rangliste:,Label for the round ranking
GAME_ROUND_POINTS,pts,pts,点,Pkt.,Short for points (if applicable other= full word or kanji)
